seq_len,k,method,query_size,query_time
1000000,10,naive,38,4.200863115715258e-05
1000000,10,naive,53,4.478418540299144e-05
1000000,10,naive,55,4.5437194313464305e-05
1000000,10,naive,30,4.261709777603435e-05
1000000,10,naive,26,4.6515852455201186e-05
1000000,10,naive,58,4.764870991782537e-05
1000000,10,naive,25,4.038214683532715e-05
1000000,10,naive,32,4.197551996381451e-05
1000000,10,naive,31,4.737415621357579e-05
1000000,10,naive,44,3.79676741313159e-05
1000000,10,naive,42,4.178108053004488e-05
1000000,10,naive,41,4.14014758920311e-05
1000000,10,naive,50,4.851867549152295e-05
1000000,10,naive,27,4.304277485814588e-05
1000000,10,naive,57,3.786349859763318e-05
1000000,10,naive,43,4.00085838473573e-05
1000000,10,naive,33,4.026398120687166e-05
1000000,10,naive,54,4.202173661816028e-05
1000000,10,naive,22,4.042400402969189e-05
1000000,10,naive,39,4.6547158176161676e-05
1000000,10,naive,49,3.546832973121578e-05
1000000,10,naive,56,4.5899421938004036e-05
1000000,10,naive,24,4.6830579458949076e-05
1000000,10,naive,20,3.8501275963042365e-05
1000000,10,naive,36,4.3142693383353096e-05
1000000,10,naive,23,4.457693833571214e-05
1000000,10,naive,52,4.282667617167323e-05
2000000,10,naive,47,2.941021249313985e-05
2000000,10,naive,37,2.9383069377834515e-05
2000000,10,naive,29,3.328484095884173e-05
2000000,10,naive,28,2.9773607741307167e-05
2000000,10,naive,59,2.9752129002621298e-05
2000000,10,naive,51,3.431902991400825e-05
2000000,10,naive,48,2.9286651900320344e-05
2000000,10,naive,34,3.0277164411345285e-05
2000000,10,naive,45,2.7824554765274758e-05
2000000,10,naive,40,3.310141524648279e-05
2000000,10,naive,21,3.0040740966796875e-05
2000000,10,naive,35,3.218848675613087e-05
2000000,10,naive,46,3.102692690762606e-05
2000000,10,naive,38,3.2079039197979554e-05
2000000,10,naive,53,3.190056974535546e-05
2000000,10,naive,55,3.258054725295829e-05
2000000,10,naive,30,3.3239300331372894e-05
2000000,10,naive,26,3.1953904686904537e-05
2000000,10,naive,58,3.2683213551839195e-05
2000000,10,naive,25,3.1150877475738525e-05
2000000,10,naive,32,3.1189305159066225e-05
2000000,10,naive,31,3.1277056663267075e-05
2000000,10,naive,44,2.941077317648787e-05
2000000,10,naive,42,2.9117503064744016e-05
2000000,10,naive,41,3.0774819223504315e-05
2000000,10,naive,50,3.250901629815952e-05
2000000,10,naive,27,3.0121926603646115e-05
2000000,10,naive,57,3.0047311557559515e-05
2000000,10,naive,43,3.095548980090083e-05
2000000,10,naive,33,3.0090836699370746e-05
2000000,10,naive,54,3.024496773416682e-05
2000000,10,naive,22,3.1592694114656484e-05
2000000,10,naive,39,3.0221709285873966e-05
2000000,10,naive,49,2.9842058817545574e-05
2000000,10,naive,56,3.296548869752664e-05
2000000,10,naive,24,3.2242043430067926e-05
2000000,10,naive,20,2.720631451245798e-05
2000000,10,naive,36,3.227336066109794e-05
2000000,10,naive,23,3.0914636758657604e-05
2000000,10,naive,52,3.120426304084211e-05
